Cote,Titre,Auteur,Lieu,Edition,Annee,Nb pages,Matiere,Inventaire
82-84/05,كتاب الأمثال,"أبو عكرمة الضبي, عامر بن عمران",دمشق,مجمع اللغة العربية,1974.0,188.0,الأمثال والحكم,INV_BUA_137
378/44,التعليم العالي في بريطانيا,"أبو عمه, محمود بن عبد الرحمان",الرياض,مكتب التربية العربي لدول الخليج,2000.0,352.0,التعليم العالي,INV_BUA_138
911.3:312/03,جغرافية السكان وأسسها الديمغرافية العامة,"أبو عيانة, فتحي محمد",الإسكندرية,دار الجامعة المصرية,1977.0,518.0,الجغرافية البشرية,INV_BUA_139
911.3:312/07,دراسات في جغرافية السكان,"أبو عيانة, فتحي محمد",بيروت,دار النهضة العربية,1978.0,526.0,الجغرافية البشرية,INV_BUA_140
911.3:312/08,السكان والعمران الحضري: بحوث تطبيقية في بعض الأقطار العربية,"أبو عيانة, فتحي محمد",بيروت,دار النهضة العربية,1984.0,604.0,جغرافية السكان,INV_BUA_141
911.3:33/06,الجغرافية الإقتصادية,"أبو عيانة, فتحي محمد",بيروت,دار النهضة العربية,1984.0,668.0,الجغرافية الإقتصادية,INV_BUA_142
916/09,جغرافية إفريقية,"أبو عيانة, فتحي محمد",بيروت,دار النهضة العربية,1983.0,540.0,جغرافية إفريقيا,INV_BUA_143
911/08,دراسات في الجغرافيا السياسية,"أبو عيانه, فتحي محمد",بيروت,دارالنهضة العربية,1971.0,543.0,الجغرافية العامة,INV_BUA_144
091:51/02,كتاب الجبر والمقابلة,"أبو كامل, شجاع بن أسلم",فرانكفورت,معهد تاريخ العلوم العربية والاسلامية,1986.0,221.0,مخطوطات: الرياضيات,INV_BUA_145
323/14,سقوط حكومة نشنياهو,"أبو مازن, محمود عباس",رام الله,المركز الفلسطيني للدراسات الإقليمية,1983.0,102.0,السياسة الداخلية,INV_BUA_146
091:52/04,المدخل الكبير الى علم أحكام النجوم,"أبو معشر, جعفر بن محمد",فرانكفورت,معهد تاريخ العلوم العربية والاسلامية,1985.0,477.0,مخطوطات: علم الفلك,INV_BUA_147
